company,email,phone,website,street_address,zip_code,county,rating,review_count,google_place_id,source,tags
Watts Dental,,(727) 440-3330,https://wattsdentalfl.com/,99 Dr M.L.K. Jr St N,33701,Pinellas County,4.9,463,ChIJqfiCELfhwogRJLGVqrMuHY8,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
Exceptional Dental of St. Petersburg,info@dentistsofstpete.com,(727) 388-3429,https://www.dentistsofstpete.com/,3238 4th St N,33701,Pinellas County,4.8,1187,ChIJ5dp_H13hwogR4ZxAo_6BHeQ,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
Klement Family Dental | Old Northeast,,(727) 387-8269,https://www.stpetedentist.com/locations/old-northeast/,425 22nd Ave N,33701,Pinellas County,4.8,1307,ChIJzRYKoHXhwogRjOS8SOW2s38,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
Modern Day Smiles Dentistry,info@moderndaysmiles.com,(727) 322-0505,https://www.moderndaysmiles.com/treatments/st-petersburg,2663 1st Ave N,33701,Pinellas County,4.9,849,ChIJC9aR-TXiwogRgZ0TwU-B8Dg,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
St Petersburg Dental Center,9011@nadentalgroup.com,(727) 521-1818,https://www.stpetersburgdental.com/st-petersburg?y_source=1_MTQwNDUxODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,7300 4th St N,33701,Pinellas County,4.6,1137,ChIJQ8ankKTmwogRm1ohFcP4Lw4,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
"Dr. Ferullo, DDS - Your Downtown Dentist",,(727) 822-8101,https://www.yourdowntowndentist.com/,200 Central Avenue,33701,Pinellas County,5,474,ChIJSy2lvZzhwogRAYNe4TxsCzA,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
Florida Dental Centers of St. Petersburg,,(727) 525-8770,https://www.floridadentalcenters.com/dentist-office/st-petersburg-fl-33702?utm_source=maps&utm_medium=organic&utm_campaign=PDM+st+petersburg+fl&utm_content=website,7530 4th St N,33701,Pinellas County,4.7,737,ChIJw4rmP6PmwogRa7PgqwfnoYE,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
BayView Dental Associates,,(727) 873-7446,https://bayviewdental.com/st-petersburg/,111 2nd Ave NE #1400,33701,Pinellas County,4.8,571,ChIJP-oplZ3hwogRfEC2KN0djPs,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
Scott Dentistry | St Petersburg,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,(727) 898-8585,https://www.scottdentistrystpete.com/,239 2nd Ave S UNIT 100,33701,Pinellas County,5,242,ChIJw8yuv53hwogRCu0BzGfMu1I,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
Dental Care on 4th & 4th,4thand4th@mydentalmail.com,(727) 615-4777,https://dentalcareon4thand4th.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,390 4th St N #101,33701,Pinellas County,4.9,693,ChIJm3L0oN7mwogROp48yib7RY0,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
Klement Family Dental | St. Petersburg,,(727) 498-1945,https://www.stpetedentist.com/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite&utm_term=stpete,7650 38th Ave N,33701,Pinellas County,4.8,3042,ChIJC9CYk7f8wogRK3oQ2NWGDiM,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
Waterfront District Dental,office@waterfrontdistrictdental.com,(727) 201-8700,https://www.waterfrontdistrictdental.com/,180 4th Ave NE,33701,Pinellas County,4.7,344,ChIJY4TyBXbhwogRY6FNDV86xDA,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
St. Pete Specialists,info@stpetespecialists.com,(727) 350-1550,https://stpetespecialists.com/,99 Dr M.L.K. Jr St N,33701,Pinellas County,5,40,ChIJrVnHSYPhwogR_RU84ZIWoxQ,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
4th Street Family Dentistry,floss@4thstreetfamilydentistry.com,(727) 777-6549,https://4thstreetfamilydentistry.com/?utm_campaign=gmb,1808 4th St N,33701,Pinellas County,4.9,310,ChIJmdFLkAzhwogRsFN2bLfpxMg,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
Mai Dentistry of St. Petersburg,,(727) 800-0022,https://maidentistry.com/,495 31st St N,33701,Pinellas County,4.2,175,ChIJT8Vqo5LjwogR8_hj9Jplv8U,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
Flash Dentspa - St. Petersburg,info2@flashdentspa.com,(727) 290-0929,https://www.flashdentspa.com/,1621 1st Ave N,33701,Pinellas County,4.9,611,ChIJ57YagnDjwogR0qETZHTc_5Q,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
St Pete Family and Cosmetic Dentistry,StPete@DrPowless.com,(727) 822-3463,https://yourstpetedentist.com/,1747 16th St N,33701,Pinellas County,4.7,307,ChIJqTaNEdrjwogREw6ZWgLkJsQ,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
Priority Emergency Dental Care,info@priorityemergencydental.care,(844) 210-2331,https://www.priorityemergencydental.care/locations/saint-petersburg-florida/,175 1st St S,33701,Pinellas County,5,1,ChIJoZm1ZADhwogRHqaT1aQcxq0,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
Signature Smiles of St. Pete,,(727) 522-9192,https://www.signaturesmilesofstpete.com/,5200 16th St N,33701,Pinellas County,4.4,279,ChIJHa4FXTLjwogRbIgjuqo9FVg,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
Daxon Dentistry,user@domain.com,(727) 282-1970,https://www.dg-dentistry.com/,111 2nd Ave NE #1104,33701,Pinellas County,5,288,ChIJw8yuv53hwogRUE_ZBHtjzUA,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
Dental Arts Ninth Street - St. Petersburg,,(727) 522-2222,https://dentalarts.dental/?utm_source=google+business&utm_medium=organic&utm_campaign=main+website&utm_term=ninthstreet,6201 12th St N,33702,Pinellas County,4.9,997,ChIJrcvqzKDmwogRSN2y80bePvM,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
Coast Dental,stpetersburg@coastdental.com,(727) 525-4499,https://www.coastdental.com/dentist-office/st-petersburg-fl-33702?utm_source=gmb&utm_medium=organic,7801 Dr M.L.K. Jr St N,33702,Pinellas County,4.2,969,ChIJTUrRS8nmwogRTNWohENWqR4,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
Chase Dental - St. Petersburg,p.chasedental@yahoo.com,(727) 527-4955,https://chasedds.com/?utm_source=GBPEprompt,6161 Dr M.L.K. Jr St N Ste 103,33702,Pinellas County,5,578,ChIJP_4LO6rmwogRZ07As6AY4fk,Pinellas County Google Maps Scan,"dentist, pinellas-county, 2026-03-02"
